,plasmid pool,perturbseq
Aqr-1,1365,0
Aqr-2,885,111
Aqr-3,1222,2
Arid4b-1,1109,49
Arid4b-2,751,436
Arid4b-3,1178,151
Arid5b-1,1220,2120
Arid5b-2,810,262
Arid5b-3,1350,20
Atf2-1,2300,19
Atf2-2,2493,36
Atf2-3,1129,86
Bach2-1,1179,240
Bach2-2,1403,0
Bach2-3,1406,51
Batf-1,1189,0
Batf-2,1272,3
Batf-3,655,3
Bhlhe40-1,1184,12
Bhlhe40-2,1359,9
Bhlhe40-3,997,11
Crem-1,1127,2
Crem-2,842,32
Crem-3,1865,727
Ctnnb1-1,2061,16
Ctnnb1-2,1070,3
Ctnnb1-3,1184,24
Dkk3-1,1082,13
Dkk3-2,1413,16
Dkk3-3,1402,19
Dvl1-1,1401,319
Dvl1-2,1066,249
Dvl1-3,1343,27
Dvl2-1,1506,16
Dvl2-2,1594,246
Dvl2-3,1206,1911
Dvl3-1,1462,57
Dvl3-2,2157,20
Dvl3-3,1234,15
Eef2-1,1955,0
Eef2-2,1265,0
Eef2-3,1414,1
Eef2-4,1481,0
Eef2-5,1256,0
Eef2-6,1652,0
Eef2-7,2036,0
Eef2-8,1695,0
Egr1-1,1360,89
Egr1-2,962,73
Egr1-3,1909,71
Eif4a3-1,2172,0
Eif4a3-2,1073,0
Eif4a3-3,888,0
Elf1-1,1676,36
Elf1-2,914,18
Elf1-3,1638,19
Eomes-1,1967,3
Eomes-2,856,5
Eomes-3,1427,8
Ep300-1,1368,6
Ep300-2,1333,15
Ep300-3,2275,3
Ets1-1,1460,23
Ets1-2,1924,1217
Ets1-3,447,0
Ezh2-1,1367,0
Ezh2-2,1986,3
Ezh2-3,2096,23
Fosb-1,1653,5
Fosb-2,830,53
Fosb-3,704,63
Foxm1-1,1188,11
Foxm1-2,1694,11
Foxm1-3,3098,34
Foxo1-1,1448,62
Foxo1-2,755,26
Foxo1-3,1378,2
Foxp1-1,703,6
Foxp1-2,1589,137
Foxp1-3,901,10
Fzd1-1,1890,11
Fzd1-2,1705,241
Fzd1-3,805,13
Fzd3-1,1591,5
Fzd3-2,1171,33
Fzd3-3,1291,101
Fzd6-1,1474,20
Fzd6-2,1088,8
Fzd6-3,1595,171
Gsk3b-1,1631,74
Gsk3b-2,1340,49
Gsk3b-3,1110,112
Hif1a-1,1512,283
Hif1a-2,1176,283
Hif1a-3,1159,119
Hmgb1-1,2109,103
Hmgb1-2,1412,253
Hmgb1-3,1603,21
Hmgb2-1,1261,13
Hmgb2-2,1046,18
Hmgb2-3,855,64
Id2-1,665,10
Id2-2,2135,70
Id2-3,1670,37
Id3-1,1262,21
Id3-2,945,4
Id3-3,1852,21
Ikzf3-1,1652,21
Ikzf3-2,1727,51
Ikzf3-3,1522,494
Il12rb1-1,701,820
Il12rb1-2,1888,2
Il12rb1-3,928,39
Il12rb2-1,1685,71
Il12rb2-2,1459,60
Il12rb2-3,1299,56
Irf2-1,575,227
Irf2-2,1587,35
Irf2-3,1231,893
Irf9-1,1856,19
Irf9-2,2477,26
Irf9-3,1796,51
Klf2-1,1164,1
Klf2-2,1286,3
Klf2-3,1131,1
Ldhb-1,2528,4
Ldhb-2,2786,145
Ldhb-3,1481,45
Lef1-1,927,53
Lef1-2,1235,3
Lef1-3,1400,44
Litaf-1,1871,2
Litaf-2,1582,108
Litaf-3,2490,253
Lrp1-1,1332,28
Lrp1-2,1176,5
Lrp1-3,1076,39
Mafk-1,1359,51
Mafk-2,886,30
Mafk-3,1065,8
Myb-1,1305,14
Myb-2,947,8
Myb-3,2777,9
NO-SITE-1,1484,1176
NO-SITE-10,764,93
NO-SITE-11,1257,49
NO-SITE-12,1279,5
NO-SITE-13,1103,15
NO-SITE-14,1346,438
NO-SITE-15,997,63
NO-SITE-2,1121,68
NO-SITE-3,954,6
NO-SITE-4,679,7
NO-SITE-5,1877,325
NO-SITE-6,1789,33
NO-SITE-7,1912,320
NO-SITE-8,1250,6
NO-SITE-9,1295,22
Nr3c1-1,1218,285
Nr3c1-2,1571,24
Nr3c1-3,1404,66
Nr4a1-1,1665,66
Nr4a1-2,618,81
Nr4a1-3,1479,37
Nr4a2-1,1234,70
Nr4a2-2,1186,308
Nr4a2-3,2081,302
Nr4a3-1,2586,126
Nr4a3-2,1625,304
Nr4a3-3,1454,162
ONE-NON-GENE-SITE-1,1280,11
ONE-NON-GENE-SITE-10,1368,115
ONE-NON-GENE-SITE-11,902,57
ONE-NON-GENE-SITE-12,1598,12
ONE-NON-GENE-SITE-13,1178,5
ONE-NON-GENE-SITE-14,1363,9
ONE-NON-GENE-SITE-15,1187,7
ONE-NON-GENE-SITE-2,1957,30
ONE-NON-GENE-SITE-3,1576,64
ONE-NON-GENE-SITE-4,1958,36
ONE-NON-GENE-SITE-5,2462,10
ONE-NON-GENE-SITE-6,926,843
ONE-NON-GENE-SITE-7,1008,744
ONE-NON-GENE-SITE-8,918,124
ONE-NON-GENE-SITE-9,1996,285
Oxnad1-1,1786,17
Oxnad1-2,1327,25
Oxnad1-3,1227,17
P2rx7-1,1278,18
P2rx7-2,971,7
P2rx7-3,1107,18
Prdm1-1,1223,48
Prdm1-2,1158,134
Prdm1-3,1261,202
Rad21-1,1188,8
Rad21-2,1369,0
Rad21-3,1531,2
Rela-1,1237,51
Rela-2,1296,18
Rela-3,939,23
Rps6-1,2162,1
Rps6-2,1401,1
Rps6-3,2447,0
Runx2-1,1939,0
Runx2-2,979,115
Runx2-3,1574,234
Runx3-1,1340,0
Runx3-2,1615,8
Runx3-3,828,2
Satb1-1,1581,369
Satb1-2,1622,38
Satb1-3,987,97
Sox4-1,1017,61
Sox4-2,790,14
Sox4-3,1014,255
Sp100-1,1822,315
Sp100-2,1756,5
Sp100-3,2606,252
Sp140-1,1171,0
Sp140-2,553,22
Sp140-3,1025,11
Stat3-1,2025,399
Stat3-2,1975,17
Stat3-3,1228,10
Stat4-1,1247,5
Stat4-2,1554,3
Stat4-3,1768,22
Sub1-1,1140,95
Sub1-2,1876,39
Sub1-3,1222,0
Tbx21-1,1626,0
Tbx21-2,2218,0
Tbx21-3,1455,2
Tcf3-1,1287,66
Tcf3-2,1584,19
Tcf3-3,929,4
Tcf7-1,940,50
Tcf7-2,835,138
Tcf7-3,2156,109
Tox-1,3140,21
Tox-2,1414,8
Tox-3,1599,8
Tox2-1,1440,50
Tox2-2,1143,11
Tox2-3,1497,4272
Tpt1-1,1197,3
Tpt1-2,968,12
Tpt1-3,821,10
Yy1-1,1746,7
Yy1-2,1140,4
Yy1-3,956,14
Zeb2-1,1646,436
Zeb2-2,16,385
Zeb2-3,1376,37
Zfp292-1,2088,231
Zfp292-2,1507,15
Zfp292-3,1344,67